,team_id,x,y,time,player_id
0,65,1.52072,24.67359,314,Caldwell-Pope
1,65,10.75032,36.04997,314,Drummond
2,65,23.82238,13.373079999999998,314,Ilyasova
3,65,17.875870000000003,26.79608,314,Jackson
4,65,20.3721,7.9836800000000006,314,Morris
5,37,16.55087,16.65431,314,Bazemore
6,37,10.51495,33.562540000000006,314,Horford
7,37,3.52017,28.1182,314,Korver
8,37,12.80547,19.13692,314,Millsap
9,37,17.39357,29.438709999999997,314,Teague
10,-99,10.6522,37.51078,314, 
11,65,1.55751,24.034589999999998,313,Caldwell-Pope
12,65,10.75998,36.050990000000006,313,Drummond
13,65,24.006729999999997,13.41983,313,Ilyasova
14,65,17.4011,26.44394,313,Jackson
15,65,19.90835,8.15912,313,Morris
16,37,16.42865,16.49534,313,Bazemore
17,37,10.51498,33.55692,313,Horford
18,37,3.49234,27.652390000000004,313,Korver
19,37,12.92341,19.2327,313,Millsap
20,37,17.10233,29.21201,313,Teague
21,-99,10.673589999999999,37.50651,313, 
22,65,1.5743,23.41079,312,Caldwell-Pope
23,65,10.76976,36.05149,312,Drummond
24,65,24.18978,13.47145,312,Ilyasova
25,65,16.91475,26.10745,312,Jackson
26,65,19.430239999999998,8.35341,312,Morris
27,37,16.30593,16.32829,312,Bazemore
28,37,10.51413,33.55263,312,Horford
29,37,3.47326,27.19398,312,Korver
30,37,13.05418,19.32011,312,Millsap
31,37,16.80382,29.048890000000004,312,Teague
32,-99,10.694469999999999,37.50209,312, 
33,65,1.58136,22.77613,311,Caldwell-Pope
34,65,10.78021,36.05189,311,Drummond
35,65,24.375339999999998,13.52706,311,Ilyasova
36,65,16.4357,25.775170000000003,311,Jackson
37,65,18.9567,8.545580000000001,311,Morris
38,37,16.17825,16.163079999999997,311,Bazemore
39,37,10.51074,33.54177,311,Horford
40,37,3.50239,26.7334,311,Korver
41,37,13.20429,19.427329999999998,311,Millsap
42,37,16.515629999999998,28.846740000000004,311,Teague
43,-99,10.714789999999999,37.49754,311, 
44,65,1.6215600000000001,22.12274,310,Caldwell-Pope
45,65,10.789530000000001,36.04913,310,Drummond
46,65,24.55729,13.59981,310,Ilyasova
47,65,15.96715,25.43334,310,Jackson
48,65,18.49385,8.74692,310,Morris
49,37,16.05153,16.0076,310,Bazemore
50,37,10.51718,33.49127,310,Horford
51,37,3.49951,26.3042,310,Korver
52,37,13.365720000000001,19.53571,310,Millsap
53,37,16.22025,28.613329999999998,310,Teague
54,-99,10.734539999999999,37.49285,310, 
55,65,1.6573200000000001,21.48387,309,Caldwell-Pope
56,65,10.8011,36.04524,309,Drummond
57,65,24.73474,13.679229999999999,309,Ilyasova
58,65,15.514470000000001,25.11818,309,Jackson
59,65,18.024810000000002,8.968119999999999,309,Morris
60,37,15.935410000000001,15.852079999999999,309,Bazemore
61,37,10.51671,33.48275,309,Horford
62,37,3.5059099999999996,25.88922,309,Korver
63,37,13.543379999999999,19.60462,309,Millsap
64,37,15.917710000000001,28.396490000000004,309,Teague
65,-99,10.75367,37.48802,309, 
66,65,1.73327,20.89593,308,Caldwell-Pope
67,65,10.81144,36.04187,308,Drummond
68,65,24.90643,13.76029,308,Ilyasova
69,65,15.05456,24.8172,308,Jackson
70,65,17.52665,9.22672,308,Morris
71,37,15.82821,15.69891,308,Bazemore
72,37,10.519739999999999,33.461,308,Horford
73,37,3.56164,25.47635,308,Korver
74,37,13.709439999999999,19.7006,308,Millsap
75,37,15.60725,28.19983,308,Teague
76,-99,10.772160000000001,37.48305,308, 
77,65,1.80941,20.31733,307,Caldwell-Pope
78,65,10.82329,36.03508,307,Drummond
79,65,25.05854,13.796129999999998,307,Ilyasova
80,65,14.594729999999998,24.54155,307,Jackson
81,65,17.05885,9.48882,307,Morris
82,37,15.73179,15.56015,307,Bazemore
83,37,10.51827,33.447990000000004,307,Horford
84,37,3.5880199999999998,25.0793,307,Korver
85,37,13.87354,19.77895,307,Millsap
86,37,15.29625,27.99788,307,Teague
87,-99,10.78998,37.47793,307, 
88,65,1.90114,19.749679999999998,306,Caldwell-Pope
89,65,10.8346,36.02724,306,Drummond
90,65,25.20832,13.833160000000001,306,Ilyasova
91,65,14.145760000000001,24.25624,306,Jackson
92,65,16.58375,9.77864,306,Morris
93,37,15.64127,15.42539,306,Bazemore
94,37,10.5158,33.43571,306,Horford
95,37,3.6589099999999997,24.65071,306,Korver
96,37,14.04089,19.85449,306,Millsap
97,37,14.99192,27.823829999999997,306,Teague
98,-99,10.8071,37.47267,306, 
99,65,2.00981,19.17643,305,Caldwell-Pope
100,65,10.84597,36.0182,305,Drummond
101,65,25.35928,13.88093,305,Ilyasova
102,65,13.69404,23.97885,305,Jackson
103,65,16.11244,10.09665,305,Morris
104,37,15.56674,15.30308,305,Bazemore
105,37,10.51225,33.42515,305,Horford
106,37,3.72666,24.22254,305,Korver
107,37,14.2132,19.93007,305,Millsap
