,x,y,team_id,player_id,time
0,33.15347672,-0.520355046,1,1,0
1,-47.63189316,3.434343338,1,2,0
2,-48.47122192,0.728497088,1,3,0
3,-6.085132122,-15.61065197,1,4,0
4,-50.67446136,33.82307816,1,5,0
5,-39.02877808,24.87297249,1,6,0
6,-48.7859726,-4.891337872,1,7,0
7,-42.91067123,3.226201534,1,8,0
8,-41.96642685,-0.520355046,1,9,0
9,-33.78297424,3.850627422,1,10,0
10,-9.337530136,-6.868686676,1,11,0
11,-48.89088821,-4.475053787,2,1,0
12,-48.15647507,-5.099479675,2,2,0
13,-35.98620987,3.226201534,2,3,0
14,-7.973620892,-15.61065197,2,4,0
15,-47.00239563,18.00428581,2,5,0
16,-51.72362137,3.226201534,2,6,0
17,-46.37290192,-4.579124451,2,7,0
18,-45.42865753,0.520355046,2,8,0
19,-50.14988327,-5.932047844,2,9,0
20,-49.3105545,2.393633366,2,10,0
21,-50.14988327,-0.416284055,2,11,0
22,-48.99580383,-4.058769226,3,12,0
23,33.15347672,-0.416284055,1,1,1
24,-47.52697754,3.330272436,1,2,1
25,-48.3663063,0.624426067,1,3,1
26,-6.190048218,-15.61065197,1,4,1
27,-50.56954575,33.7190094,1,5,1
28,-38.81894684,24.56075859,1,6,1
29,-49.41546631,-5.099479675,1,7,1
30,-42.91067123,3.330272436,1,8,1
31,-41.75659561,-0.520355046,1,9,1
32,-33.78297424,3.642485619,1,10,1
33,-9.232614517,-6.972758293,1,11,1
34,-48.7859726,-4.891337872,2,1,1
35,-48.15647507,-5.51576376,2,2,1
36,-35.88129807,3.122130394,2,3,1
37,-8.078536987,-15.61065197,2,4,1
38,-46.89748383,17.69207191,2,5,1
39,-51.72362137,3.018059492,2,6,1
40,-46.58273315,-4.995408535,2,7,1
41,-45.3237381,0.520355046,2,8,1
42,-50.46462631,-6.348331928,2,9,1
43,-49.41546631,2.393633366,2,10,1
44,-50.04496384,-0.416284055,2,11,1
45,-48.63908768,-4.308540344,3,12,1
46,33.0485611,-0.312213033,1,1,2
47,-47.42206192,3.226201534,1,2,2
48,-48.3663063,0.520355046,1,3,2
49,-6.294964314,-15.71472263,1,4,2
50,-50.46462631,33.7190094,1,5,2
51,-38.60911179,24.35261726,1,6,2
52,-49.94004822,-5.307621479,1,7,2
53,-42.80575562,3.330272436,1,8,2
54,-41.65167999,-0.520355046,1,9,2
55,-33.78297424,3.538414478,1,10,2
56,-9.127697945,-7.076828957,1,11,2
57,-48.57613754,-5.307621479,2,1,2
58,-48.15647507,-5.827976704,2,2,2
59,-35.67146301,3.018059492,2,3,2
60,-8.078536987,-15.61065197,2,4,2
61,-46.79256439,17.48393059,2,5,2
62,-51.82853699,2.913988352,2,6,2
63,-46.79256439,-5.411693096,2,7,2
64,-45.42865753,0.416284055,2,8,2
65,-50.67446136,-6.660544872,2,9,2
66,-49.41546631,2.393633366,2,10,2
67,-50.04496384,-0.312213033,2,11,2
68,-48.29286575,-4.558310509,3,12,2
69,33.0485611,-0.208142027,1,1,3
70,-47.3171463,3.226201534,1,2,3
71,-48.26139069,0.416284055,1,3,3
72,-6.399880409,-15.92286491,1,4,3
73,-50.25479507,33.61493683,1,5,3
74,-38.50419617,24.14447594,1,6,3
75,-50.56954575,-5.51576376,1,7,3
76,-42.80575562,3.434343338,1,8,3
77,-41.44184494,-0.520355046,1,9,3
78,-33.78297424,3.434343338,1,10,3
79,-9.022782326,-7.076828957,1,11,3
80,-48.47122192,-5.827976704,2,1,3
81,-48.15647507,-6.140189648,2,2,3
82,-35.56654739,3.018059492,2,3,3
83,-8.183452606,-15.71472263,2,4,3
84,-46.68764877,17.17171669,2,5,3
85,-51.82853699,2.705846548,2,6,3
86,-46.89748383,-5.932047844,2,7,3
87,-45.42865753,0.312213033,2,8,3
88,-50.8842926,-6.972758293,2,9,3
89,-49.41546631,2.393633366,2,10,3
90,-49.94004822,-0.312213033,2,11,3
91,-47.94664383,-4.818488121,3,12,3
92,33.0485611,-0.104071014,1,1,4
93,-47.10731506,3.226201534,1,2,4
94,-48.26139069,0.312213033,1,3,4
95,-6.504796505,-16.02693558,1,4,4
96,-50.14988327,33.61493683,1,5,4
97,-38.29436493,23.83226204,1,6,4
98,-50.98920822,-5.827976704,1,7,4
99,-42.70084,3.538414478,1,8,4
100,-41.33692932,-0.520355046,1,9,4
101,-33.67805862,3.226201534,1,10,4
102,-8.917865753,-7.18089962,1,11,4
103,-48.26139069,-6.140189648,2,1,4
104,-47.94664383,-6.348331928,2,2,4
105,-35.35671616,2.913988352,2,3,4
106,-8.183452606,-15.61065197,2,4,4
107,-46.58273315,16.8595047,2,5,4
108,-51.82853699,2.497704268,2,6,4
109,-46.89748383,-6.348331928,2,7,4
110,-45.42865753,0.208142027,2,8,4
111,-50.98920822,-7.284971237,2,9,4
112,-49.41546631,2.289562225,2,10,4
113,-49.8351326,-0.312213033,2,11,4
114,-47.60042191,-5.068258286,3,12,4
115,33.0485611,0,1,1,5
116,-46.89748383,3.226201534,1,2,5
117,-48.26139069,0.208142027,1,3,5
118,-6.504796505,-16.13100624,1,4,5
119,-49.8351326,33.51086426,1,5,5
120,-38.08452988,23.62412071,1,6,5
121,-51.40887451,-6.140189648,1,7,5
122,-42.59592438,3.642485619,1,8,5
123,-41.12709808,-0.520355046,1,9,5
124,-33.67805862,3.018059492,1,10,5
125,-8.708033562,-7.284971237,1,11,5
126,-47.94664383,-6.348331928,2,1,5
127,-47.8417244,-6.556473732,2,2,5
128,-35.25180054,2.809917212,2,3,5
129,-8.183452606,-15.71472263,2,4,5
130,-46.37290192,16.65136147,2,5,5
131,-51.72362137,2.393633366,2,6,5
132,-47.00239563,-6.868686676,2,7,5
133,-45.53357315,0.104071014,2,8,5
134,-51.09412384,-7.597184181,2,9,5
135,-49.41546631,2.289562225,2,10,5
